曲名,id,time,EXPERT,FC定数,AP定数,MASTER,FC定数,AP定数
Highlight,263,20230320,23,,,27,,
エピローグに君はいない,332,20230316,23,,,26,,
エゴイスト,299,20230313,26,,,31,31.4,31.5
Mr. Showtime,333,20230311,26,,,30,30.85,30.9
39,331,20230309,24,,,28,,
Booo!,320,20230307,25,,,29,,
ヤミナベ!!!!,329,20230304,31,30.5,31.2,37,37.8,37.8
Q,202,20230302,24,,,28,,
パレットには君がいっぱい,214,20230301,25,,,28,,
ストロボラスト,305,20230228,23,,,28,,
ココロ,312,20230227,24,,,28,,
Where shall we go?,338,20230224,21,,,26,,
"Hello, Worker",286,20230220,25,,,28,,
ひつじがいっぴき,316,20230219,25,,,28,,
私は、私達は,287,20230217,24,,,27,,
1925,306,20230215,24,24.756,24.842,28,28.59,28.349
アイロニ,293,20230213,23,24.13,24.53,28,29.071,28.831
レイニースノードロップ,283,20230211,25,25.804,25.699,30,30.211,30.366
Copycat,247,20230210,23,23.583,22.391,27,27.277,25.481
天使の翼。,326,20230207,24,24.656,24.384,28,29.224,28.744
星界ちゃんと可不ちゃんのおつかい合騒曲,328,20230206,29,29.231,30.37,32,32.6,32.88
SnowMix♪,327,20230204,27,27.257,27.524,30,30.327,29.835
Goodbye,228,20230201,23,23.321,22.501,27,26.734,25.806
p.h.,297,20230123,24,24.023,24.083,29,29.282,28.97
Flyway,310,20230121,24,24.761,25.308,28,28.809,28.368
星空オーケストラ,282,20230119,23,23.946,23.608,28,28.723,28.846
夜明けと蛍,311,20230110,22,22.778,22.29,26,26.384,25.231
フェレス,291,20230105,26,25.788,26.726,30,29.908,30.008
リンちゃんなう！,303,20230104,25,26.091,24.985,29,29.777,29.52
それがあなたの幸せとしても,294,20230103,22,21.619,21.309,26,26.598,25.419
気まぐれメルシィ,281,20230102,25,25.962,26.269,30,30.603,30.582
FREELY TOMORROW,313,20230101,24,24.382,25,29,28.42,28.21
カンタレラ,296,20221231,24,24.189,24.223,29,29.276,29.234
ネトゲ廃人シュプレヒコール,298,20221230,25,25.332,26.159,30,30.643,30.789
夜もすがら君想ふ,255,20221229,24,24.464,24.918,28,27.661,27.239
腐れ外道とチョコレゐト,250,20221225,30,29.464,30.241,34,35.027,35.397
What's up? Pop!,315,20221223,31,30.496,31.122,37,37.908,37.819
仮死化,267,20221219,23,23.441,23.657,28,28.64,27.761
陽だまりのセツナ,314,20221212,23,23.089,23.063,28,28.443,27.576
ロンリーユニバース,269,20221209,23,23.045,23.089,27,27.219,26.283
ノンブレス・オブリージュ,268,20221205,26,25.707,26.145,30,30.869,30.513
フロート・プランナー,295,20221130,23,23.738,23.128,27,27.433,26.24
あったかいと,271,20221128,24,24.238,23.961,29,29.171,29.082
フレー,302,20221126,26,25.781,26.37,30,30.905,30.563
星屑ユートピア,261,20221125,25,25.054,25.493,29,29.794,29.793
パラジクロロベンゼン,275,20221121,24,24.062,24.387,28,28.273,27.921
Iなんです,304,20221120,26,25.942,26.062,31,30.998,30.847
the WALL,259,20221118,25,25.139,24.94,30,30.299,30.06
ラブカ？,260,20221114,25,24.759,25.472,28,28.461,28.369
Change me,265,20221104,23,23.712,22.974,28,28.157,27.797
帝国少女,262,20221101,24,23.811,24.418,28,28.431,28.544
いちにのさんで,292,20221031,22,21.456,21.621,26,26.448,25.13
泥中に咲く,270,20221028,22,20.984,21.434,26,26.104,24.827
どんな結末がお望みだい？,290,20221021,24,23.703,23.012,28,28.391,27.359
DREAM PLACE,252,20221019,25,24.849,25.103,28,28.302,28.132
ÅMARA(大未来電脳),285,20221011,28,27.873,28.289,34,34.396,34.271
DAYBREAK FRONTLINE,253,20221010,25,24.333,24.731,29,29.185,28.596
こちら、幸福安心委員会です。,279,20221009,24,23.499,24.361,28,27.995,27.672
トリノコシティ,242,20221008,23,22.879,22.5,27,26.602,25.571
Bad ∞ End ∞ Night,278,20221007,25,24.588,25.189,29,28.846,28.693
エゴロック,225,20221006,25,24.752,24.429,31,31.469,31.117
インビジブル,284,20221005,28,27.471,28.378,32,32.373,32.327
ダブルラリアット,256,20221004,23,22.813,22.997,27,27.111,26.014
フォニイ,277,20221003,24,24.073,24.054,29,29.372,29.195
アンハッピーリフレイン,288,20221002,26,25.387,25.405,31,30.663,30.184
天ノ弱,289,20221001,25,24.659,24.792,29,29.432,28.93
Journey,235,20220929,25,25.299,25.695,28,28.67,28.428
虚ろを扇ぐ,280,20220920,23,23.021,23.67,27,26.776,26.306
Calc.,243,20220916,25,24.764,24.652,30,30.2,29.895
ジェヘナ,272,20220912,25,25.2,26.064,30,30.787,30.842
Voices,236,20220907,25,25.063,25.233,30,29.975,29.565
フューチャー・イヴ,273,20220902,27,27.095,27.478,32,32.765,32.515
君の夜をくれ,237,20220829,21,19.617,20.068,26,26.287,25.373
それでもいいんだよ,274,20220826,24,24.251,24.659,29,29.213,29.075
YY,266,20220822,25,24.415,24.894,29,29.061,29.181
ロストエンファウンド,226,20220815,25,25.188,24.964,29,29.929,29.617
パラソルサイダー,264,20220810,25,25.091,24.547,30,30.777,30.194
踊れオーケストラ,240,20220808,24,23.73,23.346,28,27.982,27.045
フロイライン＝ビブリォチカ,251,20220730,27,26.306,26.642,31,31.515,31.295
てらてら,257,20220721,24,24.089,23.67,30,30.159,29.419
街,217,20220719,23,22.529,22.947,27,26.777,26.099
エイリアンエイリアン,246,20220711,25,25.037,24.861,29,29.034,28.887
メリュー,218,20220704,22,21.139,21.289,26,25.991,24.508
ぼくらの16bit戦争,249,20220701,28,27.553,28.613,33,33.73,33.418
脳漿炸裂ガール,229,20220630,28,26.731,27.969,32,32.935,32.884
星空のメロディー,212,20220628,24,23.375,23.455,27,26.631,25.506
未完成讃歌,254,20220624,27,26.233,26.306,31,30.716,30.402
ヴァンパイア,213,20220620,25,24.685,24.756,29,29.072,28.919
グッバイ宣言,198,20220613,26,25.042,25.12,30,30.323,29.935
バグ,248,20220610,26,25.735,25.537,32,31.844,31.759
阿吽のビーツ,245,20220606,23,22.182,22.648,28,28.735,28.616
Awake Now,244,20220531,24,23.403,23.225,30,29.937,29.373
神のまにまに,201,20220530,25,23.973,24.367,29,28.631,28.744
アサガオの散る頃に,241,20220523,21,18.778,19.493,26,25.539,24.033
月光,239,20220520,25,24.194,24.935,29,28.927,29.437
リモコン,146,20220516,24,23.447,23.188,29,28.335,27.509
妄想感傷代償連盟,194,20220513,23,22.421,22.835,27,27.137,26.128
ブラック★ロックシューター,238,20220510,24,24.063,23.426,27,26.999,26.214
イフ,211,20220508,23,22.556,22.608,27,26.69,25.771
サラマンダー,230,20220505,25,24.581,24.539,30,30.29,30.079
徳川カップヌードル禁止令,234,20220504,27,27.139,27.393,31,31.537,31.203
コスモスパイス,233,20220503,25,24.939,25.087,30,30.379,30.341
青色絵具,232,20220502,24,23.015,23.209,27,26.794,26.019
アイデンティティ,231,20220501,26,25.598,25.636,31,30.34,29.598
オーダーメイド,196,20220428,21,19.514,19.874,26,25.912,24.699
ダーリンダンス,168,20220425,25,24.186,24.157,30,29.729,29.158
PaⅢ.SENSATION,195,20220418,24,23.213,23.613,29,29.063,28.997
ONESELF,227,20220415,27,26.066,26.258,30,30.162,29.432
88☆彡,224,20220411,26,25.825,26.234,29,29.205,29.106
千年の独奏歌,223,20220404,23,22.011,22.543,27,26.79,26.051
ピアノ×フォルテ×スキャンダル,222,20220403,26,25.036,25.589,30,29.282,29.316
ルカルカ★ナイトフィーバー,216,20220402,25,24.175,24.308,29,28.604,28.237
砂の惑星,219,20220401,23,22.584,23.164,27,26.844,25.957
ドーナツホール,220,20220331,25,24.354,24.997,29,28.796,28.865
マトリョシカ,221,20220330,25,24.126,23.977,30,29.244,27.986
ノマド,189,20220328,23,22.215,22.011,26,26.199,24.663
雨とペトラ,210,20220322,25,24.374,24.418,29,28.359,27.553
いーあるふぁんくらぶ,174,20220314,24,23.664,23.651,28,27.731,27.036
メタモリボン,209,20220311,23,22.634,21.998,26,25.638,24.251
Miku,153,20220309,24,24.02,24.421,28,28.943,28.532
僕らまだアンダーグラウンド,208,20220304,25,24.299,25.023,28,27.872,27.287
心予報,188,20220302,24,23.608,23.789,28,27.784,27.386
ナンセンス文学,158,20220224,25,24.448,25.007,29,29.031,29.24
ジウダス,215,20220221,25,24.246,24.637,28,27.902,27.71
Peaky Peaky,207,20220218,25,24.531,24.909,28,28.423,28.338
Flyer!,182,20220216,24,24.325,23.918,29,28.874,28.292
愛して愛して愛して,181,20220207,25,24.194,24.993,28,28.128,28.335
君色マリンスノウ,206,20220205,28,27.367,28.388,31,31.465,31.142
踊,205,20220204,26,24.935,25.637,29,28.937,29.134
うっせぇわ,204,20220131,24,23.88,23.786,28,28.312,27.696
心拍数♯0822,155,20220124,23,22.111,22.419,26,25.994,25.176
トリコロージュ,203,20220121,24,23.752,24.362,28,28.112,27.774
にっこり^^調査隊のテーマ,178,20220119,27,26.224,26.456,31,30.471,30.669
Don't Fight The Music,164,20220110,30,29.656,30.058,36,35.844,35.916
the EmpErroR,163,20220109,31,30.458,30.615,36,35.864,35.657
エンドマークに希望と涙を添えて,162,20220108,31,30.831,31.132,35,35.096,34.943
ガランド,200,20220103,24,23.495,23.997,28,28.503,28.301
少女レイ,169,20220102,24,23.45,23.481,27,27.135,26.653
サンドリヨン 10th Anniversary,104,20220101,25,24.596,24.5,28,28.77,28.224
ヴィラン,170,20211231,25,24.458,26.218,29,28.772,29.735
ゴーストルール,199,20211230,27,26.703,26.856,32,33.41,32.989
ミライ,180,20211229,24,23.61,23.94,28,27.751,27.741
フィクサー,183,20211228,26,26.118,27.092,31,30.781,31.081
ラストスコア,197,20211220,26,25.297,25.895,30,30.086,29.873
去り人達のワルツ,192,20211215,23,22.103,21.962,28,27.388,27.067
悪ノ召使,191,20211214,24,22.844,23.315,27,26.19,25.457
悪ノ娘,190,20211213,24,22.954,22.726,27,26.135,25.352
ワールドワイドワンダー,193,20211210,24,23.611,23.678,28,28.042,27.494
からくりピエロ,147,20211129,23,22.282,23.502,27,27.026,27.005
STAGE OF SEKAI,159,20211118,25,24.912,24.718,30,30.058,29.991
オルターエゴ,167,20211110,26,25.348,25.3,31,31.411,31.541
初音天地開闢神話,186,20211105,28,27.806,28.347,32,33.107,33.137
ロウワー,187,20211031,26,26.081,26.941,31,31.159,30.698
Happy Halloween,172,20211030,25,24.595,25.077,30,30.668,30.67
ショウタイム・ルーラー,160,20211029,25,24.663,24.809,31,30.798,30.71
しっくおぶはうす！,185,20211022,26,25.464,26.365,30,30.612,30.397
"Hello,world!",184,20211013,25,25.473,25.599,29,28.811,28.186
ray,148,20211012,24,23.096,23.371,26,25.799,24.747
右肩の蝶,177,20211011,25,24.528,24.85,31,30.569,30.968
マシュマリー,157,20211010,26,25.336,25.963,29,28.722,28.572
だれかの心臓になれたなら,152,20211009,25,24.221,24.918,29,28.885,29.51
悪魔の踊り方,133,20211008,26,25.263,26.052,30,29.977,30.331
トキヲ・ファンカ,150,20211007,25,24.929,25.348,28,27.855,27.041
テレキャスタービーボーイ,134,20211006,25,24.486,24.67,29,28.452,28.445
拝啓ドッペルゲンガー,175,20211005,28,27.287,28.303,32,32.724,32.945
ベノム,145,20211004,26,25.472,26.35,29,28.752,29.193
マシンガンポエムドール,176,20211003,31,30.758,31.302,34,34.637,34.387
ロストワンの号哭,98,20211002,26,25.65,25.744,32,33.194,32.926
炉心融解,179,20211001,24,23.683,23.739,27,27.313,26.814
群青讃歌,141,20210929,24,23.641,23.403,27,27.273,26.136
再生,142,20210929,22,21.7,21.291,26,26.725,25.318
カトラリー,111,20210921,25,23.894,24.525,28,28.559,28.408
流星のパルス,173,20210910,25,25.321,25.603,30,30.301,30.378
magic number,161,20210901,25,24.696,25.134,29,29.567,29.511
チルドレンレコード,136,20210823,27,26.982,27.949,32,32.004,32.48
Glory Steady Go!,166,20210820,25,25.001,25.157,30,30.331,30.135
アイスドロップ,140,20210818,24,24.082,23.909,27,27.32,26.299
カゲロウデイズ,171,20210815,27,26.96,27.888,31,31.452,31.2
そうだった！！,165,20210806,27,27.159,27.226,31,30.953,30.925
ビターチョコデコレーション,129,20210728,25,24.71,25.026,31,31.694,31.937
地球最後の告白を,154,20210719,25,25.196,24.906,31,31.84,31.267
六兆年と一夜物語,135,20210712,29,28.925,29.472,34,34.593,34.508
Beat Eater,156,20210709,25,24.478,24.671,28,28.423,27.74
フロムトーキョー,130,20210707,24,23.403,23.738,28,27.506,26.877
トラフィック・ジャム,143,20210630,24,23.522,24.328,28,27.868,28.445
カナデトモスソラ,149,20210621,22,21.126,21.035,26,26.083,24.958
トンデモワンダーズ,127,20210619,27,26.926,26.982,32,32.916,32.528
泡沫未来,151,20210614,25,25.736,26.972,29,29.581,29.581
ロミオとシンデレラ,121,20210607,24,23.711,24.12,27,27.205,26.921
いかないで,120,20210528,25,25.001,25.455,29,29.266,28.761
アイノマテリアル,144,20210521,22,21.194,21.372,26,26.078,25.123
KING,138,20210517,25,24.843,25.171,29,29.35,29.867
シネマ,126,20210508,24,23.544,23.551,29,29.351,29.323
幽霊東京,102,20210503,24,23.802,24.424,27,27.305,27.339
夜に駆ける,139,20210501,25,23.944,24.431,29,29.55,29.426
花を唄う,137,20210426,25,24.94,25.966,30,30.54,30.171
「１」,132,20210421,23,22.505,22.684,26,25.865,24.669
アイディスマイル,116,20210419,25,24.075,24.619,28,27.838,27.864
どりーみんチュチュ,123,20210412,23,22.246,22.797,27,26.773,27.173
お気に召すまま,106,20210405,24,23.353,23.906,28,27.829,28.646
天使のクローバー,112,20210330,27,26.407,26.886,31,30.636,30.644
初音ミクの激唱,131,20210330,30,29.761,29.659,33,34.043,33.557
from Y to Y,96,20210322,24,23.13,24.152,26,26.217,25.63
威風堂々,95,20210315,24,24.085,24.832,28,28.62,28.374
みくみくにしてあげる♪【してやんよ】,124,20210309,24,23.266,23.015,28,28.163,28.223
